sku,name
ZA.N03.W.ST,Noga VALOT STALOWA
GI.035A00101-125-CZ,Podstawa stołu TEXAS 125 CZARNA
GI.035A00101-140-CZ,Podstawa stołu TEXAS 140 CZARNA
GI.035A00101-160-CZ,Podstawa stołu TEXAS 160 CZARNA
GI.035A00101-125-ST,Podstawa stołu TEXAS 125 STALOWA
GI.035A00101-140-ST,Podstawa stołu TEXAS 140 STALOWA
GI.035A00101-160-ST,Podstawa stołu TEXAS 160 STALOWA
COU26-NEW-140x200,Łóżko Country New 26 - 140
ZA.STX-C10-710,Noga TYPU X 80x71 CZARNA
ZA.STX-S10-710,Noga TYPU X 80x71 STALOWA
ZA.NXN.80-C10-450,Noga TYPU X 80x45 CZARNA
COU26-NEW-160x200,Łóżko Country New 26 - 160
COU27-NEW-160X200,Łóżko Country New 27 - 160
ZA.NXN.80-S10-450,Noga TYPU X 80x45 STALOWA
COU27-NEW-180X200,Łóżko Country New 27 - 180
ZA.NP.80-S,Noga PROSTA STALOWA
ZA.NP.80-CZ,Noga PROSTA CZARNA
COU32-NEW,Stół Country New 32
ZA.030-S10-710,Noga RETRO 71 STALOWA
ZA.030-C10-710,Noga RETRO 71 CZARNA
ZA.030-S10-510,Noga RETRO 51 STALOWA
ZA.N.KOB-C10,Noga KOBYŁKA CZARNA
ZA.N.KOB-S10,Noga KOBYŁKA STALOWA
ZA.BZS,Nogi do biurka metalowe loft industrial STRONG 1
ZA.PDB,Nogi do biurka metalowe loft industrial STRONG 2
ZA.N02.W.CZ,Noga TAVOLO 75x72 CZARNA
ZA.N02.W.ST,Noga TAVOLO 75x72 STALOWA
ZA.N02.N.CZ,Noga TAVOLO 40x45 CZARNA
ZA.N02.N.ST,Noga TAVOLO 40x45 STALOWA
COU10-NEW,Ława Country New 10
COU39-NEW,Krzesło Country New 39 
COU43-NEW,Biurko Country New 43
COU29-NEW,Regał Country New 29
TENN01,Komoda Tennessee 3
ZA.N04.W.CZ,Noga SLAN 75x72 CZARNA
ZA.N04.W.ST,Noga SLAN 75x72 STALOWA
TENN19,Stolik kawowy Tennessee 1
ZA.N04.N.ST,Noga SLAN 40x45 STALOWA
ZA.N04.N.CZ,Noga SLAN 40x45 CZARNA
TENN02,Komoda Tennessee 1
ZA.NS.KX-C10-710,Noga KWADROX CZARNA
ZA.NS.KX-S10-710,Noga KWADROX STALOWA
ZA.STA-C10-710,Noga TYPU A 80x71 CZARNA
ZA.STA-S10-710,Noga TYPU A 80x71 STALOWA
TENN20,Szafka nocna Tennessee 3
TENN21,Szafka nocna Tennessee 4
TENN10_140,Łóżko Tennessee 2 - 140
ZA.LTA-S10-450,Noga TYPU A 40x45 STALOWA
ZA.LTA-C10-450,Noga TYPU A 40x45 CZARNA
ZA.NXN.60-S10-40,Noga TYPU X 60x40 STALOWA
ZA.NXN.60-C10-40,Noga TYPU X 60x40 CZARNA
ZA.STR-C10-710,Noga TRAPEZ CZARNA
ZA.STR-S10-710,Noga TRAPEZ STALOWA
RR.SLIM-710-ST,Noga SLIM 71 STALOWA
RR.SLIM-710,Noga SLIM 71 CZARNA
RR.SLIM-400,Noga SLIM 40 CZARNA
RR.SLIM-400-ST,Noga SLIM 40 STALOWE
RR.SLIM-180-ST,Noga SLIM 18 STALOWA
RR.SLIM-180,Noga SLIM 18 CZARNA
RR.NB.KOW,Noga KOWADŁO
RR.ST.U.820-CZ,Noga TYPU U CZARNA
RR.ST.U.820-ST,Noga TYPU U STALOWA
RR.STR.SZ.820-CZ,Noga TRAPEZ SZEROKI CZARNA
RR.STR.SZ.820-ST,Noga TRAPEZ SZEROKI STALOWA
ZA.PR3-S10-730,Noga HAIRPIN PRĘT POTRÓJNY 73 STALOWA
ZA.PR3-C10-730,Noga HAIRPIN PRĘT POTRÓJNY 73 CZARNA
ZA.PR3-C10-400,Noga HAIRPIN PRĘT POTRÓJNY 40 CZARNA
ZA.PR3-S10-400,Noga HAIRPIN PRĘT POTRÓJNY 40 STALOWA
ZA.PR3-S10-200,Noga HAIRPIN PRĘT POTRÓJNY 20 STALOWA
ZA.PR3-C10-200,Noga HAIRPIN PRĘT POTRÓJNY 20 CZARNA
ZA.PR2-C10-730,Noga HAIRPIN PRĘT PODWÓJNY 73 CZARNA
ZA.PR2-S10-730,Noga HAIRPIN PRĘT PODWÓJNY 73 STALOWA
ZA.PR2-C10-400,Noga HAIRPIN PRĘT PODWÓJNY 40 CZARNA
ZA.PR2-S10-400,Noga HAIRPIN PRĘT PODWÓJNY 40 STALOWA
ZA.PR2-C10-200,Noga HAIRPIN PRĘT PODWÓJNY 20 CZARNA
ZA.PR2-S10-200,Noga HAIRPIN PRĘT PODWÓJNY 20 STALOWA
ZA.P3-S10-730,Noga HAIRPIN PŁASKOWNIK POTRÓJNY 73 STALOWA
ZA.P3-C10-730,Noga HAIRPIN PŁASKOWNIK POTRÓJNY 73 CZARNA
TENN10_160,Łóżko Tennessee 2 - 160
TENN10_180,Łóżko Tennessee 2 - 180
ZA.P3-S10-400,Noga HAIRPIN PŁASKOWNIK POTRÓJNY 40 STALOWA
ZA.P3-C10-400,Noga HAIRPIN PŁASKOWNIK POTRÓJNY 40 CZARNA
ZA.P3-S10-200,Noga HAIRPIN PŁASKOWNIK POTRÓJNY 20 STALOWA
