sku,name,translated
AV-23,Produkt,Product
RUS03-140,Stół RUSTYK 3 140,Table 3 140 RUSTYK
MAR03-140200-SOSNA,Łóżko Marika II - 140,Marika bed - 140 II
RUS13,Konsola sosnowa RUSTYK,Pine console RUSTYK
RUS3D,Szafa sosnowa RUSTYK,Pine cabinet RUSTYK
RUS10,Biurko woskowane RUSTYK 10,Waxed desk 10 RUSTYK
RUS3_9,Komoda RUSTYK 3/9,Komoda 3/9 RUSTYK
RUS14_200,Lustro stojące RUSTYK,Standing mirror RUSTYK
RUS14_72,Lustro wiszące RUSTYK ,Hanging mirror RUSTYK
SE.A01.WHITE,Prowadnica OLD BIAŁA,Guide bar WHITE OLD
COU01-NEW,Drewniana szafka nocna Country New 01,Wooden bedside cabinet Country New 01
COU30-NEW,Witryna Country New 30,Witryna Country New 30
RUS01-140,Stół RUSTYK 1 140,Table 1 140 RUSTYK
RUS30PRGR,Łóżka Dobromir,Dobromir beds
RUS27,Szuflada łóżka rustyk,Rustic bed drawer
RUS30_180,Łóżko RUSTYK / Dobromir 180,Bed / Dobromir 180 RUSTYK
MAR05-SOSNA,Szafka RTV Drewniana Sosnowa Marika 1,Wooden cabinet in pine Marika 1 RTV
MAR02-SOSNA,Szafa Sosnowa Marika 100,Pine cabinet Marika 100
ER.RWR,Obraz 3D ROWER 1,Image BIKE 1 3D
PT.L19029B,Obraz 3D LADY AFRYKA,Image LADY 3D AFRYKA
PT.T150727,Obraz 3D DESZCZ 1,RAINFALL painting 1 3D
PT.T150730,Obraz 3D DESZCZ 2,Raindrop painting 2 3D
PT.P120808,Obraz 3D DESZCZ 3,Raindrop painting 3 3D
ER.AFA,Obraz 3D SŁOŃ 1,Image Elephant 1 3D
PT.F183084,Obraz 3D SŁOŃ 2,Image Elephant 2 3D
PT.T-100835,Obraz 3D ZEBRA,Image ZEBRA 3D
ER.DNM,Obraz 3D JEANS BACK,Image JEANS 3D BACK
ER.JNS,Obraz 3D JEANS FRONT,Image JEANS 3D FRONT
SE.A01,Prowadnica OLD CZARNA,Guide rail BLACK OLD
SE.A04,Prowadnica ROKA-MTK CZARNA,Guide rail BLACK ROKA-MTK
SE.A61,Prowadnica VINTAGE CZARNA,Guide rail BLACK VINTAGE
SE.A05,Prowadnica KRAWAT CZARNA,Guide rail BLACK KRAWAT
SE.B01,Prowadnica KOŁO CZARNA,Guide rail BLACK KOŁO
SE.B02.NGB,Prowadnica KOŁO NA WIESZAKU CZARNA,Guide rail NA BLACK KOŁO WIESZAKU
